3.539356 1.116 -1.638 3.799 1.091 -1.832 3.582 1.079 -1.870 3.820 -7.3547e-04
3.629993 1.117 -1.638 3.799 1.092 -1.832 3.582 1.080 -1.871 3.819 -7.1277e-04
3.695709 1.117 -1.638 3.799 1.092 -1.832 3.582 1.080 -1.871 3.818 -3.8078e-04
3.757881 1.117 -1.638 3.800 1.093 -1.832 3.583 1.079 -1.872 3.816 -2.9405e-04
3.819622 1.119 -1.637 3.801 1.094 -1.833 3.584 1.079 -1.873 3.814 -2.6676e-04
3.881779 1.119 -1.636 3.802 1.094 -1.833 3.584 1.080 -1.872 3.814 -2.6676e-04
3.944946 1.119 -1.636 3.802 1.094 -1.833 3.584 1.080 -1.872 3.814 -2.6676e-04
4.006973 1.120 -1.636 3.801 1.094 -1.833 3.584 1.081 -1.871 3.815 -2.6676e-04
4.097569 1.120 -1.637 3.800 1.094 -1.834 3.584 1.081 -1.871 3.816 -2.6676e-04
4.163158 1.119 -1.637 3.798 1.094 -1.834 3.583 1.081 -1.870 3.817 -2.6676e-04
4.225803 1.119 -1.638 3.796 1.094 -1.833 3.581 1.082 -1.870 3.817 7.3500e-05
4.288334 1.119 -1.639 3.795 1.094 -1.833 3.581 1.082 -1.869 3.819 1.0223e-04
4.351032 1.118 -1.639 3.794 1.093 -1.832 3.579 1.082 -1.869 3.820 6.1591e-05
4.413261 1.118 -1.639 3.793 1.093 -1.832 3.579 1.082 -1.869 3.820 1.0075e-04
4.475601 1.118 -1.640 3.792 1.093 -1.832 3.579 1.083 -1.868 3.821 1.0075e-04
4.539528 1.118 -1.640 3.792 1.093 -1.832 3.580 1.083 -1.868 3.821 1.0075e-04
4.629772 1.118 -1.640 3.791 1.094 -1.833 3.581 1.083 -1.869 3.821 1.4821e-04
4.695969 1.118 -1.641 3.790 1.094 -1.833 3.581 1.083 -1.868 3.822 1.4821e-04
4.758320 1.118 -1.641 3.790 1.094 -1.833 3.581 1.084 -1.868 3.823 -3.5412e-05
4.821671 1.118 -1.641 3.790 1.094 -1.833 3.582 1.083 -1.867 3.824 -4.7170e-05
4.884399 1.118 -1.641 3.790 1.094 -1.833 3.582 1.084 -1.867 3.825 -4.7170e-05
