0.046433 0.560 -1.393 4.364 0.771 -1.486 4.437 0.589 -1.576 4.328 
0.087429 0.560 -1.394 4.367 0.772 -1.485 4.439 0.589 -1.576 4.329 
0.143665 0.561 -1.394 4.368 0.772 -1.485 4.439 0.589 -1.576 4.329 
0.243252 0.561 -1.394 4.369 0.772 -1.485 4.439 0.589 -1.576 4.329 
0.282711 0.561 -1.394 4.369 0.773 -1.485 4.440 0.589 -1.577 4.329 
0.339253 0.562 -1.394 4.371 0.773 -1.485 4.440 0.589 -1.577 4.329 
0.413620 0.562 -1.394 4.371 0.773 -1.485 4.440 0.588 -1.577 4.328 
0.513165 0.562 -1.393 4.371 0.774 -1.485 4.440 0.588 -1.577 4.328 
0.543091 0.564 -1.393 4.375 0.775 -1.484 4.441 0.588 -1.578 4.329 
0.604004 0.564 -1.393 4.375 0.775 -1.484 4.442 0.588 -1.578 4.328 
0.677586 0.564 -1.392 4.373 0.776 -1.483 4.442 0.588 -1.578 4.329 
0.735947 0.565 -1.392 4.373 0.776 -1.483 4.442 0.589 -1.578 4.329 
0.810001 0.565 -1.391 4.373 0.777 -1.483 4.442 0.589 -1.577 4.328 
0.908455 0.566 -1.391 4.373 0.778 -1.483 4.442 0.589 -1.577 4.328 
0.941868 0.566 -1.391 4.374 0.778 -1.483 4.442 0.589 -1.577 4.328 
1.042686 0.567 -1.391 4.375 0.779 -1.482 4.443 0.589 -1.577 4.329 
1.073093 0.567 -1.391 4.376 0.779 -1.483 4.442 0.589 -1.578 4.330 
1.175701 0.568 -1.391 4.377 0.780 -1.482 4.443 0.589 -1.577 4.330 
1.206139 0.568 -1.391 4.379 0.782 -1.480 4.445 0.588 -1.577 4.330 
1.314968 0.568 -1.391 4.381 0.782 -1.480 4.445 0.587 -1.577 4.331 
1.342125 0.568 -1.390 4.381 0.781 -1.481 4.443 0.586 -1.578 4.333 
1.406799 0.568 -1.389 4.379 0.781 -1.481 4.443 0.586 -1.577 4.332 
1.481621 0.569 -1.388 4.380 0.781 -1.482 4.442 0.585 -1.577 4.333 
1.579716 0.569 -1.388 4.380 0.781 -1.482 4.441 0.586 -1.577 4.333 
1.612961 0.569 -1.387 4.381 0.781 -1.482 4.441 0.586 -1.576 4.333 
1.713219 0.569 -1.387 4.380 0.781 -1.482 4.441 0.586 -1.576 4.333 
1.742744 0.568 -1.386 4.378 0.781 -1.483 4.440 0.585 -1.575 4.332 
1.806896 0.569 -1.385 4.379 0.782 -1.482 4.441 0.585 -1.575 4.332 
1.907127 0.568 -1.385 4.379 0.782 -1.482 4.442 0.584 -1.575 4.332 
1.939617 0.568 -1.385 4.379 0.781 -1.482 4.441 0.584 -1.575 4.331 
2.039890 0.568 -1.385 4.380 0.782 -1.482 4.442 0.584 -1.575 4.332 
2.078617 0.568 -1.383 4.377 0.782 -1.481 4.444 0.584 -1.575 4.335 
2.178452 0.568 -1.383 4.375 0.782 -1.481 4.444 0.584 -1.575 4.335 
2.244034 0.568 -1.382 4.373 0.783 -1.480 4.445 0.584 -1.576 4.336 
2.290890 0.567 -1.382 4.371 0.784 -1.480 4.447 0.584 -1.576 4.336 
2.343994 0.567 -1.383 4.371 0.784 -1.480 4.447 0.584 -1.576 4.336 
2.441948 0.568 -1.384 4.374 0.784 -1.480 4.448 0.585 -1.577 4.337 
2.482780 0.568 -1.385 4.373 0.784 -1.480 4.448 0.586 -1.578 4.339 
2.540894 0.568 -1.384 4.372 0.784 -1.480 4.447 0.587 -1.578 4.340 
2.611488 0.568 -1.384 4.370 0.784 -1.481 4.446 0.587 -1.578 4.341 
2.711720 0.568 -1.384 4.368 0.783 -1.482 4.445 0.587 -1.579 4.341 
2.741653 0.568 -1.385 4.370 0.782 -1.483 4.443 0.587 -1.579 4.341 
2.842651 0.568 -1.385 4.370 0.782 -1.484 4.442 0.588 -1.579 4.341 
2.873032 0.569 -1.387 4.373 0.782 -1.485 4.441 0.587 -1.578 4.337 
2.972740 0.569 -1.388 4.375 0.782 -1.485 4.441 0.588 -1.577 4.336 
3.006145 0.569 -1.388 4.375 0.782 -1.485 4.441 0.588 -1.576 4.333 
3.106735 0.569 -1.388 4.374 0.782 -1.485 4.441 0.588 -1.576 4.332 
3.138805 0.568 -1.389 4.373 0.783 -1.485 4.441 0.588 -1.575 4.330 
3.239922 0.568 -1.390 4.373 0.783 -1.485 4.440 0.588 -1.575 4.329 
3.273186 0.568 -1.391 4.374 0.782 -1.486 4.440 0.588 -1.574 4.327 
3.328194 0.568 -1.391 4.374 0.782 -1.486 4.439 0.589 -1.574 4.328 
3.405949 0.567 -1.391 4.374 0.781 -1.487 4.438 0.589 -1.573 4.327 
3.508186 0.567 -1.392 4.375 0.782 -1.487 4.438 0.589 -1.573 4.327 
3.537910 0.567 -1.392 4.375 0.781 -1.487 4.438 0.589 -1.574 4.328 
3.638554 0.567 -1.392 4.375 0.781 -1.487 4.438 0.589 -1.574 4.329 
3.669617 0.566 -1.392 4.375 0.781 -1.487 4.439 0.590 -1.575 4.333 
3.774014 0.567 -1.392 4.375 0.781 -1.487 4.439 0.590 -1.576 4.334 
3.802887 0.567 -1.392 4.375 0.779 -1.487 4.438 0.590 -1.576 4.335 
3.871063 0.566 -1.392 4.373 0.779 -1.487 4.438 0.590 -1.576 4.335 
3.976742 0.566 -1.392 4.371 0.779 -1.488 4.437 0.590 -1.575 4.334 
4.003078 0.565 -1.392 4.371 0.778 -1.488 4.436 0.590 -1.575 4.332 
4.106453 0.565 -1.392 4.371 0.778 -1.488 4.436 0.590 -1.574 4.332 
4.135334 0.566 -1.393 4.373 0.778 -1.488 4.436 0.590 -1.573 4.329 
4.203259 0.566 -1.393 4.373 0.777 -1.488 4.436 0.589 -1.573 4.328 
